00:25:21:06	00:25:24:15	媽 這是員林街上最有名的肉圓
00:25:24:15	00:25:26:12	你吃吃看
00:25:26:12	00:25:29:18	你怎麼這樣每天花錢啦
00:25:29:18	00:25:32:23	你是能夠吃多少啦
00:25:32:23	00:25:35:29	這湯很燙 要小心一點喔
00:25:35:29	00:25:38:19	真的很燙耶 這個貢丸
00:25:40:25	00:25:44:26	阿媽...
00:25:48:09	00:25:50:29	這個湯頭不錯喔
00:25:50:29	00:25:53:17	很香... 這很好吃喔
00:25:53:17	00:25:54:13	真好吃
00:25:54:13	00:25:55:04	你又還沒吃
00:25:55:04	00:25:57:13	你怎麼知道好吃
00:25:59:02	00:26:00:24	你可以走了啦
00:26:00:24	00:26:03:09	時間不早了 快回去顧店啦
00:26:03:09	00:26:04:26	去啦
00:26:04:26	00:26:08:02	阿媽...
00:26:10:04	00:26:13:00	好啦 媽 你慢慢吃
00:26:13:00	00:26:15:12	我明天再回來
00:26:15:12	00:26:17:00	要小心一點
00:26:17:00	00:26:18:13	好啦...
00:26:18:13	00:26:20:22	你也一樣要小心一點
00:26:20:22	00:26:22:03	好啦
00:26:22:03	00:26:25:26	阿媽...
00:26:25:26	00:26:28:04	留一些給阿媽吃
00:26:30:09	00:26:31:26	好... 手不要過來 燙...
00:26:31:26	00:26:33:00	我要吃肉圓
00:26:33:00	00:26:34:17	好... 阿媽知道
00:26:34:17	00:26:36:06	都站好 排好
00:26:36:06	00:26:38:08	阿媽弄給你們吃
00:26:41:03	00:26:43:09	乖啊
00:26:43:09	00:26:45:07	好吃吧
00:26:46:15	00:26:47:04	乖孫子
00:26:47:04	00:26:49:00	我也要...
00:26:49:00	00:26:52:07	來 都有... 大家都有
00:26:52:07	00:26:53:21	乖孫子
00:26:53:21	00:26:54:22	我也要
00:26:54:22	00:26:56:27	坐著...
00:27:03:22	00:27:04:23	好吃嗎
00:27:04:23	00:27:06:22	好吃
00:27:20:20	00:27:23:02	大伯...
00:27:24:16	00:27:27:29	大伯 我知道次郎生日快到了
00:27:27:29	00:27:29:29	這給他過生日
00:27:31:07	00:27:36:04	不用啦 小孩子過什麼生日
00:27:36:04	00:27:38:25	大伯 我知道你跟阿嫂
00:27:38:25	00:27:40:14	對次郎很好
00:27:40:14	00:27:42:06	一定會幫他過生日的
00:27:42:06	00:27:43:02	我這個做母親的
00:27:43:02	00:27:45:10	總不能都沒有表示啊
00:27:45:10	00:27:48:06	沒關係啦 拿去幫他買東西
00:27:55:15	00:27:57:06	媽
00:28:04:24	00:28:06:28	等人家來收斗笠的時候
00:28:06:28	00:28:09:23	媽再買柑仔糖給你吃
00:28:09:23	00:28:12:08	我要吃一顆 兩顆 三顆
00:28:12:08	00:28:14:11	四顆 五顆
