	835
nai4	3
Kai4	7
nai2	21
nai1	1
sin1siang2	1
tang1	69
dim3	5
Ba2	2
Din1	4
kuan	1
tiann3hi1	1
Sit7	4
Sit6	5
tang3	9
Hi5	11
Hi4	2
Hi3	3
Lik6	33
Hi1	4
im1	102
duann	1
Dun2	1
hue3	248
tuinn3	4
Cai4	3
Cai5	1
tuann1	12
kua4	6
bok7	8
run2	1
kua1	1
kok6	16
kok7	49
Sukhoi	1
lat6	24
lam1	1
hue2	609
U2	12
lo2hue1	1
Do2Diong1	1
Niu5	8
Niu4	6
An1Cong3	1
hiok7	1
ding7	2
qiok6	25
biah7	33
Zing1	10
ciong1	120
Zing3	88
Tucker	1
Cong3	4
Cong1	6
tai5	8
tai4	1
gik7—kai1	1
tai1	53
tang5	2
tai3	143
tai2	68
biann4	6
sit7zet7	1
biann3	27
diang1	1
bik7	28
diang3	1
diang4	8
diang5	7
zik7？	1
Siang5	3
John	1
diun5	7
Siang1	10
Siang2	21
Ai3	18
Ua4	1
Ai1	6
dik6	205
gau1	169
gau2	13
gau3	977
gau4	243
gau5	11
Miami	1
dau2lik6	1
li2e5	1
Sih7senn3	1
『de2	1
diong4	31
diong5	44
diong2	200
diong3	14
Tkacik	1
diong1	798
Giap7	14
ria4	11
Brookings	2
ip7	1
vueh6	1
vueh7	3
Hua3	34
nua2	11
hik6	44
Ireland	5
ce1	67
ce3	20
ce4	1
ce5	2
Han3	5
kueh7	3
dit7	124
Ciang1	23
Tam5	10
ann3	1
KTV	3
Guinn1	2
De5	2
to5	83
qu5—huan1	1
＜suann1	1
to3	19
vang4	15
Freddy1	1
Munk	2
qiorh6	3
diau5cola	1
Tah7	2
zah7	22
or1	7
dih7	48
kak7	90
Bu2	1
cau4	53
gua4tah6	1
hia2cau4	1
Zu5	3
Hun3	2
Zu4	24
gik6	52
gik7	147
Saab	4
lua2	8
Kang1	5
dah7	33
sim1？	2
vu4‧iann4	1
senn4	5
qing4	2
hai4kuann3	1
Cim1	2
lok7	2
lok6	146
Zi1	4
Zi3	49
Freddy	10
Ben2	2
Hillary	9
qau5	2
hue2NSC	1
Hyderabad	2
sinn2	1
sinn3	4
sinn1	2
Hak6	52
vang7	4
Philip	4
Piau1	2
？	5
Seoul	5
Ue2	24
ue	1
hor2zap6	1
lau1	4
lau3	9
Iau1	1
lau5	173
lau4	4
queh	1
Iau5	8
i1an3	1
ri2/TongYong>	1
Sior1	1
qi2	687
iInn2	1
qi7	1
qi4	52
qi5	204
diunn5	468
diunn4	320
diunn3	10
diunn2	4
diunn1	56
Cua3	74
zim5	4
lip	1
biak7	6
Kuann3	4
ho5	15
zai3	167
zai2	162
zai1	135
cak6	4
buah7	3
zai5	91
zai4	71
guah7	24
Munroe	1
u4	53
u5	4
u2	1176
u3	2
u1	33
Merry	1
u2ki4	1
cng5	30
due4	1
Uan1	9
cng1	19
due3	30
Uan4	5
King1	4
King3	12
King4	2
mia2	86
uinn5	17
Ciang1Zia2	1
zong5	35
zong2	139
zong3	9
e	10
li3	29
Tih7	21
li1	1
Ve2	5
li7	1
Lak6	25
cenn4	42
li4	556
ban2	191
C.C.1	1
Pau4	1
dong2	377
ki3lang5	1
hor2	557
sing5zenn5	1
dong4	172
tau4	1
Run2	2
Pau3	2
Lor4	5
Lor5	36
ginn3	21
ginn1	2
ah	3
Bo2&	1
ga1zing5	1
Gok7Ma4	1
Sior4	32
Tsukuba	1
guainn5	1
Me4	1
guainn1	29
zu5	19
Ziap7	1
Shizuoka	1
zu1	142
zu3	98
zu2	454
ge3kai1	1
Hatta	5
tiu4	2
gauh7	3
O5	59
Hut6	1
iah6	18
O1	14
O3	8
Timothy	1
puann3？	1
Get6	6
hor1	3
Sip7	1
lo3』	1
Sip6	2
bang4	10
giann51	1
luan2kong3	1
zor1	22
zor2	283
zor3	403
zor4	46
zor5	12
hue	1
Corla	1
hu	1
bor1	27
rior4	4
bor3	898
Hang2	1
bor5	3
dai5	790
dai4	17
hi	1
dai3	31
dai2	614
ta1	3
Girl	1
get7	177
get6	11
ngo2	3
Di3	22
Di2	88
Di1	5
an4	130
cin1	141
rim2	162
an1	195
ia3	1
vuat6	12
riau3	3
Nancy	1
ma1e5	1
ting4ba3	2
Masao	1
zang3	4
nqo5	13
nqo4	48
giann4	60
giann5	110
giann2	273
giann3	11
giann1	155
nua4	1
Hu4	46
sik8	2
Johnson	1
hu3	144
hu2	174
hu1	21
bang7	1
vua5	5
hu5	35
hu4	280
Uan5nng2	1
Bin1	22
Bin5	50
Masaki	9
Bass	1
ang	1
cing	1
Ting5	2
siunngiam5e5	1
gat7	1
Ga1Dan5	1
Atlanta	1
di2	1791
dik7	121
bi	1
bo	2
di1	98
PPM	1
ki2	8
Ia2	8
Hiong3	1
Hiong1	9
Ia4	5
Hiong5	145
di6	1
hin5	1
ziann3ving5	1
di5	120
Dalai	45
Gik6	7
Gik7	20
di4	3
hi5sior4	1
gi1lak7	1
Vu4‧iann4	1
Lah6	2
hiunn1	30
Saito	11
si3qo2	1
bah7	441
Algeria	2
hue4sen3	1
Dik7	64
Dik6	3
Gilady	2
lim2	1
sing4ci2ku1	1
New	1
sut8	2
Nqia5	1
ong7	1
gor4lan5	1
Tai5	101
Diam3	13
su1zi4	2
Tai1	1
giok6	221
Tai2	4
sim4	30
da2	42
da1	24
sim1	333
sim2	88
da4	4
Hor4	1
Hor5	39
Hor2	21
Lockeed	1
Bak7Tor5	1
po2	1
ceh7？	1
por2	21
por3	25
lue3	1
por1	83
Bok6	4
CNN	2
Namasia	3
den2》	1
gua3——	1
an5	9
gui1	222
gui2	24
gui3	64
gui4	181
Chhua3	9
dorh7	25
dorh6	27
vue4	80
vue2	33
Zai2	2
Hawaii	2
meh6	6
ik8	3
Zai5	7
Zai4	3
Lawrence	1
ik6	132
ik7	122
Ko3	2
kue5	1
cuah7	16
cut7—so3	1
Diong5	3
zing	2
hiang4	92
lit6	1
hiang1	65
ni55	1
hiang3	36
hiong5	113
Zing4Huat7	1
genn7	2
《len5	2
Dang1	48
Qaeda1	1
zin2	33
zin3	382
Qik6	4
zin1	466
zin4	33
zin5	1
qiam7	1
qiam5	119
qiam2	67
qiam3	4
Ziang4	7
dut6	4
sun3	3
sun2	44
sun5	99
sun4	54
let6	157
hun2—si5	1
det6	1
zat6tau5	1
Uan4Cua3	1
borh7	2
borh6	24
zing4	107
zing5	765
zing1	371
zing2	55
zing3	685
en4kang1	1
zau4	155
Dai4	1
Varyag	1
zun4	112
zun5	103
zun2	85
zun3	27
zun1	25
Bue3	1
Qing5	1
Si5	55
san4	196
ke3	14
san1	30
ke5	1
san3	37
san2	3
Kenn1	4
Giok6	80
Giok7	5
Siau4	3
Siau1	24
Qua4	5
Siau3	8
Lai5	22
kia2	42
im5	4
kia5	49
Strobe	1
Gu5	1
siang2	292
Gu1	8
Gu2	16
im3	1
Siu4	6
sann	1
tang4	23
